HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,sglang,0.5.10,agg,FRAMEWORK_INCOMPATIBLE,GPU-verified framework-incompatible on held B200 SGLang 0.5.10 node after collecting Gemma4 SWA window_size=1024 context_attention and bfloat16 MoE data: exact AIC replay now reaches Gemma4 global context attention requiring head_dim=512 window_size=0. SGLang TRTLLM MHA path fails with Missing TRTLLM-GEN kernel for headDimQk/headDimV=512; FlashAttention rejects head_dim > 256; forced Triton collector path fails in MockModelRunner metadata at kv_indptr. This is not a generic model-level B200 unsupported claim; it is an SGLang 0.5.10 B200 context-attention runtime gap for Gemma4 global attention.,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,sglang,0.5.10,disagg,FRAMEWORK_INCOMPATIBLE,GPU-verified framework-incompatible on held B200 SGLang 0.5.10 node after collecting Gemma4 SWA window_size=1024 context_attention and bfloat16 MoE data: exact AIC replay now reaches Gemma4 global context attention requiring head_dim=512 window_size=0. SGLang TRTLLM MHA path fails with Missing TRTLLM-GEN kernel for headDimQk/headDimV=512; FlashAttention rejects head_dim > 256; forced Triton collector path fails in MockModelRunner metadata at kv_indptr. This is not a generic model-level B200 unsupported claim; it is an SGLang 0.5.10 B200 context-attention runtime gap for Gemma4 global attention.,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,trtllm,1.3.0rc10,agg,FRAMEWORK_INCOMPATIBLE,GPU-verified framework-incompatible on held B200 TensorRT-LLM 1.3.0rc10 node after collecting Gemma4 SWA window_size=1024 attention and bfloat16 MoE data: exact AIC replay now reaches Gemma4 global context attention requiring n=16 n_kv=2 head_dim=512 window_size=0. Targeted B200 collector smoke run_attention_torch batch=1 input_len=128 num_heads=16 num_kv_heads=2 head_dim=512 attention_window_size=0 aborts inside TensorRT-LLM AttentionOp::initialize with [TensorRT-LLM][ERROR] Assertion failed: Head size 512 is not supported by MMHA. Source path ../tensorrt_llm/common/attentionOp.cpp:2641. This is not a generic model-level B200 unsupported claim; it is a TRT-LLM 1.3.0rc10 B200 context-attention runtime gap for Gemma4 global attention.,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,trtllm,1.3.0rc10,disagg,FRAMEWORK_INCOMPATIBLE,GPU-verified framework-incompatible on held B200 TensorRT-LLM 1.3.0rc10 node after collecting Gemma4 SWA window_size=1024 attention and bfloat16 MoE data: exact AIC replay now reaches Gemma4 global context attention requiring n=16 n_kv=2 head_dim=512 window_size=0. Targeted B200 collector smoke run_attention_torch batch=1 input_len=128 num_heads=16 num_kv_heads=2 head_dim=512 attention_window_size=0 aborts inside TensorRT-LLM AttentionOp::initialize with [TensorRT-LLM][ERROR] Assertion failed: Head size 512 is not supported by MMHA. Source path ../tensorrt_llm/common/attentionOp.cpp:2641. This is not a generic model-level B200 unsupported claim; it is a TRT-LLM 1.3.0rc10 B200 context-attention runtime gap for Gemma4 global attention.,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,vllm,0.19.0,agg,PASS,,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend vllm --backend-version 0.19.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
google/gemma-4-26B-A4B,Gemma4ForConditionalGeneration,b200_sxm,vllm,0.19.0,disagg,PASS,,uv run aiconfigurator cli default --model-path google/gemma-4-26B-A4B --total-gpus 32 --system b200_sxm --backend vllm --backend-version 0.19.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000.0 --tpot 50.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system b200_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system b200_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system b200_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system b200_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
